                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.53852,                0.48346,                0.97948,                0.88206,                0.85968,                0.91469,                 0.7577,                0.89302,                0.79484,                  1.173,             0.00095922,             0.00095922,             0.00095922
                    141,                 0.5885,                0.51253,                 1.0172,                0.94214,                0.84019,                 0.9177,                0.74706,                0.92607,                0.78896,                 1.1848,             0.00095812,             0.00095812,             0.00095812
                    142,                0.54629,                 0.4779,                0.97419,                0.84623,                0.83529,                  0.898,                0.72359,                0.94272,                   0.83,                 1.2073,             0.00095702,             0.00095702,             0.00095702
                    143,                0.54984,                0.47591,                0.99605,                0.91684,                0.83572,                0.90506,                0.74426,                0.90623,                0.76748,                 1.1912,             0.00095592,             0.00095592,             0.00095592
                    144,                 0.5487,                 0.6516,                0.97586,                  0.894,                0.84015,                0.91696,                0.76389,                0.88716,                0.75427,                 1.1707,             0.00095482,             0.00095482,             0.00095482
                    145,                0.52908,                0.56089,                0.99285,                 0.9442,                0.85849,                 0.9271,                0.78703,                0.84144,                0.71767,                 1.1352,             0.00095372,             0.00095372,             0.00095372
                    146,                0.51137,                0.45685,                0.97538,                0.88145,                0.87233,                0.91442,                0.76768,                0.85853,                0.77561,                 1.1468,             0.00095262,             0.00095262,             0.00095262
                    147,                0.53998,                0.51992,                0.98179,                0.89368,                0.80131,                0.90461,                0.75132,                0.89613,                0.87088,                 1.1837,             0.00095152,             0.00095152,             0.00095152
                    148,                0.54415,                0.48689,                0.98837,                0.86434,                0.84561,                0.90568,                 0.7507,                0.87654,                0.74357,                 1.1733,             0.00095042,             0.00095042,             0.00095042
                    149,                0.51147,                0.48122,                0.96821,                0.81951,                0.84264,                0.88812,                0.74875,                 0.8644,                 0.7853,                 1.1389,             0.00094932,             0.00094932,             0.00094932
                    150,                0.54884,                0.48177,                0.98092,                 0.8851,                0.82171,                0.91287,                0.75934,                0.90445,                0.79701,                 1.1634,             0.00094822,             0.00094822,             0.00094822
